Attendance (%),Assignment Score,Final Score (hidden),Performance
78,86,82.80000000000001,High
91,45,63.4,Medium
68,85,78.2,High
54,39,45.0,Low
82,59,68.2,Medium
47,54,51.2,Low
100,34,60.4,Medium
60,94,80.4,High
78,78,78.0,High
97,32,58.0,Medium
58,74,67.6,Medium
62,43,50.6,Low
50,59,55.4,Medium
50,97,78.19999999999999,High
63,47,53.400000000000006,Low
92,91,91.4,High
75,66,69.6,Medium
79,54,64.0,Medium
63,77,71.4,Medium
42,94,73.2,Medium
61,82,73.6,Medium
92,44,63.2,Medium
41,78,63.2,Medium
63,97,83.4,High
83,41,57.8,Medium
69,88,80.4,High
77,66,70.4,Medium
41,90,70.4,Medium
99,72,82.8,High
60,99,83.4,High
72,68,69.6,Medium
51,85,71.4,Medium
97,92,94.0,High
61,75,69.4,Medium
100,40,64.0,Medium
83,91,87.80000000000001,High
64,54,58.0,Medium
88,100,95.2,High
66,81,75.0,High
98,33,59.0,Medium
81,88,85.19999999999999,High
67,49,56.2,Medium
99,92,94.8,High
55,83,71.8,Medium
54,86,73.2,Medium
86,70,76.4,High
90,32,55.2,Medium
83,35,54.2,Low
94,34,58.0,Medium
91,34,56.8,Medium
96,83,88.2,High
42,76,62.400000000000006,Medium
76,78,77.2,High
90,38,58.8,Medium
46,49,47.8,Low
60,90,78.0,High
48,64,57.6,Medium
78,79,78.6,High
57,91,77.4,High
43,46,44.8,Low
64,32,44.8,Low
99,61,76.2,High
53,42,46.400000000000006,Low
89,97,93.8,High
97,43,64.60000000000001,Medium
48,40,43.2,Low
65,85,77.0,High
92,96,94.4,High
41,58,51.2,Low
59,38,46.400000000000006,Low
67,96,84.39999999999999,High
86,54,66.8,Medium
99,71,82.2,High
46,38,41.2,Low
83,69,74.6,Medium
100,54,72.4,Medium
47,34,39.2,Low
86,40,58.4,Medium
74,88,82.4,High
53,67,61.4,Medium
56,34,42.8,Low
75,77,76.19999999999999,High
89,47,63.8,Medium
79,99,91.0,High
43,66,56.8,Medium
41,89,69.8,Medium
45,77,64.19999999999999,Medium
93,57,71.4,Medium
81,98,91.19999999999999,High
43,69,58.599999999999994,Medium
93,74,81.6,High
68,91,81.80000000000001,High
57,87,75.0,High
65,96,83.6,High
83,85,84.2,High
73,69,70.6,Medium
49,69,61.0,Medium
75,62,67.19999999999999,Medium
53,35,42.2,Low
70,48,56.8,Medium
87,69,76.2,High
54,88,74.4,Medium
47,88,71.6,Medium
53,77,67.4,Medium
62,70,66.8,Medium
99,42,64.8,Medium
96,74,82.80000000000001,High
79,82,80.8,High
60,71,66.6,Medium
55,92,77.19999999999999,High
84,56,67.2,Medium
57,67,63.0,Medium
86,89,87.8,High
92,36,58.400000000000006,Medium
63,34,45.6,Low
65,74,70.4,Medium
64,87,77.8,High
99,60,75.6,High
99,52,70.8,Medium
99,71,82.2,High
84,39,57.0,Medium
80,61,68.6,Medium
68,82,76.4,High
54,59,57.0,Medium
84,68,74.4,Medium
40,60,52.0,Low
64,31,44.2,Low
46,41,43.0,Low
48,68,60.0,Medium
63,95,82.2,High
40,42,41.2,Low
83,75,78.2,High
47,56,52.400000000000006,Low
63,46,52.8,Low
50,89,73.4,Medium
90,93,91.8,High
56,64,60.8,Medium
47,99,78.2,High
74,59,65.0,Medium
74,100,89.6,High
72,92,84.0,High
98,57,73.4,Medium
44,89,71.0,Medium
81,66,72.0,Medium
78,51,61.8,Medium
97,97,97.0,High
80,49,61.4,Medium
67,97,85.0,High
46,93,74.2,Medium
48,46,46.8,Low
47,41,43.4,Low
51,51,51.0,Low
73,46,56.8,Medium
72,39,52.2,Low
87,94,91.2,High
94,51,68.2,Medium
62,79,72.2,Medium
63,43,51.0,Low
76,93,86.2,High
74,76,75.2,High
83,58,68.0,Medium
79,65,70.6,Medium
61,81,73.0,Medium
66,36,48.0,Low
74,58,64.4,Medium
40,40,40.0,Low
74,62,66.8,Medium
76,35,51.400000000000006,Low
86,61,71.0,Medium
53,80,69.2,Medium
42,87,69.0,Medium
40,55,49.0,Low
44,75,62.6,Medium
65,58,60.8,Medium
94,33,57.400000000000006,Medium
53,42,46.400000000000006,Low
78,68,72.0,Medium
66,44,52.8,Low
48,58,54.0,Low
54,58,56.4,Medium
54,61,58.2,Medium
65,31,44.599999999999994,Low
81,76,78.0,High
99,51,70.2,Medium
52,56,54.400000000000006,Low
90,96,93.6,High
71,85,79.4,High
78,50,61.2,Medium
88,76,80.80000000000001,High
91,88,89.19999999999999,High
100,35,61.0,Medium
71,48,57.2,Medium
43,86,68.8,Medium
69,98,86.4,High
76,32,49.6,Low
62,30,42.8,Low
78,87,83.4,High
84,67,73.8,Medium
54,44,48.0,Low
82,63,70.6,Medium
68,90,81.2,High
75,64,68.4,Medium
52,93,76.6,High
71,54,60.8,Medium
46,53,50.2,Low
98,41,63.8,Medium
90,47,64.2,Medium
61,44,50.8,Low
67,56,60.400000000000006,Medium
41,89,69.8,Medium
81,75,77.4,High
84,46,61.2,Medium
96,82,87.6,High
92,37,59.0,Medium
45,56,51.6,Low
67,75,71.8,Medium
67,79,74.2,Medium
83,100,93.2,High
83,32,52.400000000000006,Low
59,93,79.4,High
69,73,71.4,Medium
50,82,69.19999999999999,Medium
97,53,70.6,Medium
94,89,91.0,High
67,32,46.0,Low
64,49,55.0,Medium
78,75,76.2,High
72,44,55.2,Medium
40,54,48.4,Low
96,100,98.4,High
66,46,54.0,Low
96,38,61.2,Medium
91,67,76.6,High
52,77,67.0,Medium
80,89,85.4,High
42,92,72.0,Medium
78,31,49.8,Low
45,40,42.0,Low
47,93,74.6,Medium
66,50,56.400000000000006,Medium
48,47,47.400000000000006,Low
76,93,86.2,High
72,67,69.0,Medium
90,61,72.6,Medium
81,40,56.4,Medium
83,74,77.6,High
63,62,62.4,Medium
54,70,63.6,Medium
98,37,61.400000000000006,Medium
93,40,61.2,Medium
71,80,76.4,High
71,70,70.4,Medium
63,46,52.8,Low
80,75,77.0,High
91,61,73.0,Medium
88,83,85.0,High
88,49,64.6,Medium
97,62,76.0,High
91,69,77.8,High
51,61,57.0,Medium
78,31,49.8,Low
41,62,53.599999999999994,Low
42,59,52.2,Low
88,62,72.4,Medium
76,55,63.400000000000006,Medium
88,51,65.8,Medium
95,95,95.0,High
56,67,62.599999999999994,Medium
98,75,84.2,High
88,44,61.6,Medium
41,73,60.2,Medium
41,78,63.2,Medium
67,90,80.8,High
93,96,94.8,High
62,35,45.8,Low
76,38,53.2,Low
71,35,49.400000000000006,Low
72,61,65.4,Medium
40,70,58.0,Medium
58,37,45.400000000000006,Low
41,79,63.8,Medium
92,91,91.4,High
83,91,87.80000000000001,High
65,36,47.599999999999994,Low
71,33,48.2,Low
45,35,39.0,Low
71,87,80.6,High
94,51,68.2,Medium
43,55,50.2,Low
94,32,56.8,Medium
50,70,62.0,Medium
95,89,91.4,High
98,43,65.0,Medium
56,41,47.0,Low
77,41,55.4,Medium
63,42,50.400000000000006,Low
44,54,50.0,Low
91,74,80.8,High
73,48,58.0,Medium
45,84,68.4,Medium
61,74,68.8,Medium
50,37,42.2,Low
87,82,84.0,High
55,84,72.4,Medium
72,61,65.4,Medium
48,80,67.2,Medium
99,73,83.4,High
98,99,98.6,High
45,47,46.2,Low
55,51,52.599999999999994,Low
68,66,66.80000000000001,Medium
42,85,67.8,Medium
59,88,76.4,High
99,32,58.8,Medium
98,57,73.4,Medium
75,64,68.4,Medium
58,90,77.2,High
65,83,75.8,High
42,92,72.0,Medium
58,36,44.8,Low
59,78,70.4,Medium
71,60,64.4,Medium
46,87,70.6,Medium
91,90,90.4,High
80,53,63.8,Medium
72,49,58.2,Medium
79,66,71.2,Medium
78,33,51.0,Low
57,49,52.2,Low
79,89,85.0,High
40,53,47.8,Low
50,79,67.4,Medium
67,78,73.6,Medium
96,80,86.4,High
64,65,64.6,Medium
89,95,92.6,High
62,63,62.599999999999994,Medium
70,65,67.0,Medium
69,35,48.6,Low
81,68,73.19999999999999,Medium
74,71,72.2,Medium
46,87,70.6,Medium
99,41,64.2,Medium
55,32,41.2,Low
65,47,54.2,Low
87,69,76.2,High
96,50,68.4,Medium
91,44,62.8,Medium
99,55,72.6,Medium
88,37,57.400000000000006,Medium
41,71,59.0,Medium
40,73,59.8,Medium
87,43,60.60000000000001,Medium
51,31,39.0,Low
44,66,57.2,Medium
76,98,89.2,High
71,67,68.6,Medium
98,70,81.2,High
94,91,92.2,High
48,89,72.6,Medium
80,43,57.8,Medium
74,31,48.2,Low
58,99,82.6,High
87,46,62.400000000000006,Medium
55,57,56.199999999999996,Medium
42,95,73.8,Medium
59,64,62.0,Medium
63,34,45.6,Low
93,94,93.6,High
95,69,79.4,High
72,85,79.8,High
63,65,64.2,Medium
91,74,80.8,High
50,52,51.2,Low
88,76,80.80000000000001,High
47,60,54.8,Low
75,40,54.0,Low
77,39,54.2,Low
79,96,89.19999999999999,High
59,43,49.400000000000006,Low
74,39,53.0,Low
87,30,52.800000000000004,Low
64,34,46.0,Low
74,49,59.0,Medium
64,37,47.8,Low
68,72,70.4,Medium
57,30,40.8,Low
85,86,85.6,High
57,93,78.6,High
41,57,50.599999999999994,Low
93,66,76.80000000000001,High
74,76,75.2,High
55,66,61.6,Medium
100,78,86.8,High
80,73,75.8,High
75,85,81.0,High
72,57,63.0,Medium
43,35,38.2,Low
72,90,82.8,High
53,49,50.6,Low
60,31,42.599999999999994,Low
87,66,74.4,Medium
59,49,53.0,Low
95,55,71.0,Medium
47,58,53.599999999999994,Low
46,30,36.400000000000006,Low
42,64,55.2,Medium
56,99,81.8,High
72,88,81.6,High
87,98,93.6,High
51,62,57.599999999999994,Medium
98,80,87.2,High
90,41,60.599999999999994,Medium
61,49,53.8,Low
94,82,86.8,High
61,72,67.6,Medium
85,79,81.4,High
69,58,62.4,Medium
77,86,82.4,High
77,68,71.6,Medium
84,85,84.6,High
90,72,79.19999999999999,High
93,79,84.6,High
47,52,50.0,Low
66,73,70.2,Medium
66,67,66.6,Medium
73,52,60.400000000000006,Medium
60,74,68.4,Medium
69,81,76.2,High
72,79,76.2,High
67,37,49.0,Low
86,30,52.4,Low
72,37,51.0,Low
44,58,52.4,Low
99,34,60.0,Medium
100,76,85.6,High
87,63,72.6,Medium
58,94,79.6,High
43,84,67.6,Medium
74,72,72.8,Medium
88,59,70.6,Medium
56,46,50.0,Low
83,55,66.2,Medium
67,37,49.0,Low
69,76,73.2,Medium
68,75,72.2,Medium
85,97,92.19999999999999,High
92,62,74.0,Medium
45,30,36.0,Low
74,48,58.4,Medium
99,60,75.6,High
80,43,57.8,Medium
76,82,79.6,High
63,77,71.4,Medium
68,98,86.0,High
88,91,89.80000000000001,High
85,95,91.0,High
92,93,92.6,High
70,99,87.4,High
74,92,84.8,High
99,62,76.8,High
72,70,70.8,Medium
91,77,82.6,High
100,42,65.2,Medium
60,60,60.0,Medium
71,97,86.6,High
62,33,44.6,Low
72,48,57.599999999999994,Medium
42,99,76.2,High
57,42,48.0,Low
64,52,56.8,Medium
81,30,50.4,Low
70,83,77.8,High
93,100,97.2,High
97,44,65.2,Medium
42,94,73.2,Medium
79,100,91.6,High
85,44,60.4,Medium
63,50,55.2,Medium
89,48,64.4,Medium
71,89,81.8,High
86,62,71.6,Medium
61,78,71.2,Medium
62,64,63.2,Medium
41,73,60.2,Medium
66,40,50.400000000000006,Low
81,95,89.4,High
41,75,61.400000000000006,Medium
65,38,48.8,Low
56,32,41.6,Low
79,55,64.6,Medium
72,77,75.0,High
48,95,76.2,High
82,99,92.2,High
93,57,71.4,Medium
87,55,67.80000000000001,Medium
78,54,63.6,Medium
68,41,51.8,Low
81,34,52.8,Low
94,77,83.8,High
65,66,65.6,Medium
74,73,73.4,Medium
89,44,62.0,Medium
64,72,68.8,Medium
63,77,71.4,Medium
52,99,80.2,High
99,75,84.6,High
97,72,82.0,High
46,50,48.400000000000006,Low
96,52,69.60000000000001,Medium
75,76,75.6,High
84,44,60.0,Medium
59,54,56.0,Medium
40,65,55.0,Medium
47,80,66.8,Medium
85,44,60.4,Medium
55,97,80.19999999999999,High
53,50,51.2,Low
51,42,45.6,Low
90,48,64.8,Medium
62,63,62.599999999999994,Medium
54,97,79.8,High
67,81,75.4,High
73,56,62.800000000000004,Medium
41,58,51.2,Low
71,57,62.599999999999994,Medium
62,64,63.2,Medium
61,37,46.6,Low
90,45,63.0,Medium
64,65,64.6,Medium
97,59,74.2,Medium
100,47,68.2,Medium
61,31,43.0,Low
97,78,85.6,High
97,33,58.60000000000001,Medium
61,36,46.0,Low
88,68,76.0,High
91,42,61.599999999999994,Medium
81,60,68.4,Medium
45,100,78.0,High
54,92,76.8,High
93,85,88.2,High
82,71,75.4,High
99,90,93.6,High
76,71,73.0,Medium
72,85,79.8,High
47,65,57.8,Medium
92,97,95.0,High
99,36,61.2,Medium
83,83,83.0,High
83,30,51.2,Low
44,73,61.4,Medium
78,74,75.6,High
43,76,62.8,Medium
45,42,43.2,Low
84,51,64.2,Medium
71,50,58.400000000000006,Medium
91,38,59.2,Medium
69,55,60.6,Medium
86,38,57.2,Medium
74,44,56.0,Medium
94,39,61.0,Medium
79,71,74.2,Medium
91,53,68.19999999999999,Medium
55,78,68.8,Medium
52,55,53.8,Low
89,66,75.2,High
99,97,97.8,High
81,79,79.8,High
69,53,59.4,Medium
58,48,52.0,Low
56,89,75.8,High
95,68,78.8,High
58,47,51.400000000000006,Low
67,48,55.599999999999994,Medium
97,65,77.80000000000001,High
94,84,88.0,High
65,98,84.8,High
76,76,76.0,High
65,78,72.8,Medium
92,62,74.0,Medium
62,50,54.8,Low
48,51,49.8,Low
51,77,66.6,Medium
92,66,76.4,High
40,44,42.4,Low
97,64,77.2,High
97,100,98.80000000000001,High
40,61,52.6,Low
86,40,58.4,Medium
73,39,52.6,Low
71,86,80.0,High
93,54,69.6,Medium
87,31,53.400000000000006,Low
64,93,81.4,High
79,64,70.0,Medium
84,36,55.2,Medium
92,47,65.0,Medium
40,96,73.6,Medium
55,71,64.6,Medium
100,68,80.8,High
78,70,73.2,Medium
44,53,49.4,Low
61,89,77.8,High
68,75,72.2,Medium
94,48,66.4,Medium
42,97,75.0,High
51,71,63.0,Medium
65,61,62.6,Medium
55,68,62.8,Medium
90,65,75.0,High
76,65,69.4,Medium
61,32,43.6,Low
96,37,60.60000000000001,Medium
68,99,86.6,High
53,70,63.2,Medium
67,97,85.0,High
44,42,42.8,Low
86,78,81.19999999999999,High
88,89,88.6,High
69,31,46.2,Low
85,89,87.4,High
91,34,56.8,Medium
44,73,61.4,Medium
51,56,54.0,Low
55,61,58.6,Medium
65,50,56.0,Medium
65,37,48.2,Low
87,79,82.2,High
60,96,81.6,High
78,73,75.0,High
75,87,82.19999999999999,High
72,32,48.0,Low
69,99,87.0,High
76,31,49.0,Low
62,73,68.6,Medium
97,31,57.400000000000006,Medium
49,64,58.0,Medium
93,59,72.6,Medium
44,37,39.8,Low
75,51,60.599999999999994,Medium
73,73,73.0,Medium
91,87,88.6,High
70,65,67.0,Medium
49,98,78.4,High
97,60,74.80000000000001,Medium
58,76,68.80000000000001,Medium
97,84,89.2,High
71,91,83.0,High
40,59,51.4,Low
95,84,88.4,High
44,45,44.6,Low
84,41,58.2,Medium
43,46,44.8,Low
55,45,49.0,Low
63,41,49.8,Low
55,37,44.2,Low
94,32,56.8,Medium
41,45,43.400000000000006,Low
88,59,70.6,Medium
67,52,58.0,Medium
71,34,48.8,Low
66,94,82.8,High
59,59,59.0,Medium
63,50,55.2,Medium
51,99,79.8,High
89,51,66.2,Medium
74,61,66.2,Medium
99,62,76.8,High
72,45,55.8,Medium
72,67,69.0,Medium
100,43,65.8,Medium
90,65,75.0,High
82,52,64.0,Medium
76,95,87.4,High
51,31,39.0,Low
42,94,73.2,Medium
40,96,73.6,Medium
72,81,77.4,High
79,91,86.2,High
49,52,50.8,Low
82,55,65.80000000000001,Medium
83,97,91.4,High
68,84,77.6,High
52,35,41.8,Low
51,64,58.8,Medium
70,51,58.599999999999994,Medium
85,72,77.19999999999999,High
41,44,42.8,Low
100,89,93.4,High
90,41,60.599999999999994,Medium
89,78,82.4,High
74,71,72.2,Medium
62,67,65.0,Medium
56,74,66.8,Medium
65,64,64.4,Medium
47,59,54.2,Low
68,59,62.6,Medium
65,35,47.0,Low
49,96,77.19999999999999,High
65,36,47.599999999999994,Low
73,81,77.80000000000001,High
90,43,61.8,Medium
80,44,58.4,Medium
46,50,48.400000000000006,Low
43,64,55.599999999999994,Medium
97,95,95.80000000000001,High
92,31,55.400000000000006,Medium
89,64,74.0,Medium
84,49,63.0,Medium
50,39,43.4,Low
68,54,59.6,Medium
95,95,95.0,High
75,54,62.4,Medium
64,83,75.4,High
60,62,61.199999999999996,Medium
100,65,79.0,High
96,43,64.2,Medium
75,94,86.4,High
49,83,69.4,Medium
76,81,79.0,High
48,32,38.400000000000006,Low
63,70,67.2,Medium
74,35,50.6,Low
88,54,67.6,Medium
74,42,54.8,Low
87,37,57.0,Medium
75,50,60.0,Medium
57,97,81.0,High
88,54,67.6,Medium
78,97,89.4,High
71,74,72.8,Medium
63,89,78.6,High
62,41,49.4,Low
71,61,65.0,Medium
76,42,55.6,Medium
51,60,56.400000000000006,Medium
88,49,64.6,Medium
94,47,65.8,Medium
52,89,74.2,Medium
62,92,80.0,High
64,35,46.6,Low
74,61,66.2,Medium
80,72,75.19999999999999,High
69,31,46.2,Low
56,89,75.8,High
88,52,66.4,Medium
59,60,59.6,Medium
87,34,55.2,Medium
64,63,63.4,Medium
61,39,47.8,Low
52,31,39.4,Low
98,40,63.2,Medium
58,79,70.6,Medium
88,60,71.2,Medium
75,85,81.0,High
51,38,43.2,Low
100,50,70.0,Medium
80,57,66.19999999999999,Medium
58,91,77.80000000000001,High
51,36,42.0,Low
48,45,46.2,Low
46,33,38.2,Low
67,33,46.6,Low
53,69,62.6,Medium
70,46,55.599999999999994,Medium
91,81,85.0,High
58,81,71.80000000000001,Medium
97,65,77.80000000000001,High
86,67,74.6,Medium
55,79,69.4,Medium
92,92,92.0,High
44,92,72.8,Medium
74,91,84.2,High
51,36,42.0,Low
64,56,59.2,Medium
91,43,62.2,Medium
98,100,99.2,High
60,34,44.4,Low
75,84,80.4,High
92,31,55.400000000000006,Medium
62,91,79.4,High
55,50,52.0,Low
96,50,68.4,Medium
78,39,54.6,Low
84,87,85.8,High
92,68,77.6,High
81,34,52.8,Low
97,94,95.2,High
78,42,56.400000000000006,Medium
53,82,70.4,Medium
70,74,72.4,Medium
97,61,75.4,High
44,65,56.6,Medium
74,89,83.0,High
62,40,48.8,Low
68,92,82.4,High
82,50,62.800000000000004,Medium
50,81,68.6,Medium
57,84,73.2,Medium
86,55,67.4,Medium
51,97,78.6,High
48,63,57.0,Medium
49,81,68.2,Medium
97,81,87.4,High
83,58,68.0,Medium
56,67,62.599999999999994,Medium
100,71,82.6,High
77,50,60.8,Medium
46,71,61.0,Medium
85,42,59.2,Medium
52,93,76.6,High
79,46,59.2,Medium
81,38,55.2,Medium
48,70,61.2,Medium
89,30,53.6,Low
66,31,45.0,Low
97,89,92.2,High
41,77,62.599999999999994,Medium
44,58,52.4,Low
68,39,50.6,Low
76,87,82.6,High
77,89,84.2,High
58,50,53.2,Low
47,57,53.0,Low
87,63,72.6,Medium
84,37,55.8,Medium
40,88,68.8,Medium
61,78,71.2,Medium
91,46,64.0,Medium
56,89,75.8,High
